,target,benchmark,Job,RAPL,Os,sensor
38,normal_normal_LU_A_1_12,LU,5843.712137053833,10699.253295898438,4070.6042582295036,dahu-25
39,normal_normal_LU_A_1_13,LU,9601.408504537232,15684.198120117188,850.426719077031,dahu-25
40,normal_normal_LU_A_1_14,LU,10368.784827331516,16816.036376953125,1651.7661472856198,dahu-25
41,normal_normal_LU_A_1_15,LU,9412.941477823291,15972.327270507812,1183.9137713086639,dahu-25
42,normal_normal_LU_A_1_16,LU,6732.993864696111,11589.460083007812,4972.738324922673,dahu-25
43,normal_normal_LU_A_1_17,LU,9721.803005565642,15544.450286865234,736.0042330428141,dahu-25
44,normal_normal_LU_A_1_18,LU,9398.236971542763,15787.473449707031,790.7499902813706,dahu-25
45,normal_normal_LU_A_1_19,LU,10659.617994974906,17135.178588867188,2061.748033718915,dahu-25
46,normal_normal_LU_A_1_2,LU,10002.505878270842,17305.364471435547,2003.890615016315,dahu-25
47,normal_normal_LU_A_1_20,LU,8241.313349683425,14086.050598144531,5335.831965207864,dahu-25
48,normal_normal_LU_A_1_21,LU,10986.044682013371,17679.16812133789,2389.773720059683,dahu-25
49,normal_normal_LU_A_1_22,LU,11060.450419216755,17617.94403076172,2260.9019396133717,dahu-25
50,normal_normal_LU_A_1_23,LU,10958.461692707691,17498.742248535156,2334.603692947205,dahu-25
51,normal_normal_LU_A_1_24,LU,11041.530751628128,17663.109832763672,2240.3306938365413,dahu-25
52,normal_normal_LU_A_1_25,LU,10889.331003749012,17424.248779296875,2447.0174008985473,dahu-25
53,normal_normal_LU_A_1_26,LU,8196.65995007986,13757.782287597656,5505.170107064659,dahu-25
54,normal_normal_LU_A_1_27,LU,10797.894952027718,17284.7158203125,2770.814444196142,dahu-25
55,normal_normal_LU_A_1_28,LU,10953.77910375045,17547.07830810547,2462.7898193283,dahu-25
56,normal_normal_LU_A_1_29,LU,10846.155870083378,17452.040405273438,13316.447586668142,dahu-25
57,normal_normal_LU_A_1_3,LU,10289.180089272437,17516.545349121094,2070.3410220580536,dahu-25
58,normal_normal_LU_A_1_30,LU,11031.235051795049,17598.67007446289,10777.803581465767,dahu-25
59,normal_normal_LU_A_1_4,LU,9898.138892788684,16588.580932617188,966.8243615195952,dahu-25
60,normal_normal_LU_A_1_5,LU,9259.464985579238,15761.46044921875,533.5819052966431,dahu-25
61,normal_normal_LU_A_1_6,LU,9160.27093644914,15826.57763671875,614.2003048842989,dahu-25
62,normal_normal_LU_A_1_7,LU,4756.482606156989,12169.552337646484,3332.8495174479817,dahu-25
