,Job,Os,RAPL,benchmark
20 CG,1036.6041993177569,3057.5664861763357,782.5631294413624,CG
20 EP,732.1032111740618,902.6916210321185,938.7528191381236,EP
20 LU,1671.594345079369,2498.7253131617244,2350.825679473306,LU
21 CG,1152.3977520070096,2309.3008615178496,807.4427773067571,CG
21 EP,1010.9137197476558,1479.8647809266324,1164.3324499290018,EP
21 LU,1807.8645967507696,3036.054204287263,2329.99862144317,LU
22 CG,998.3686587479754,2442.25357179723,582.9488813417848,CG
22 EP,883.5029517788987,1082.4397530623983,1048.187811095214,EP
22 LU,1726.9087239880168,2863.3760970876215,1716.3724733857687,LU
23 CG,607.7776555898251,2255.7177795125904,585.8949827781673,CG
23 EP,940.9287120102211,1587.9946217349734,1213.2588558555083,EP
23 LU,1722.9314999861274,1750.3521520006964,2314.9373311213544,LU
24 CG,1599.3722222671554,4805.231721563777,1228.9705724145954,CG
24 EP,812.0989240091169,1095.3748246970085,836.8152287788294,EP
24 LU,1779.2584591092057,3433.4347918354056,2140.99455362118,LU
25 CG,1191.2880958174323,4365.786425550591,853.6608181028885,CG
25 EP,943.7955742927453,1481.4434481907822,1273.6358469551667,EP
25 LU,1566.5651033567922,3584.1733273267278,2144.4108607331,LU
26 CG,1161.9867615152762,3628.480100836794,707.4017740265366,CG
26 EP,946.7008091615855,1512.6442890225312,1272.418191383207,EP
26 LU,1503.326801122831,2386.0981243544547,2278.5244661158135,LU
27 CG,1181.2937793215613,3812.1277677359994,799.696932909775,CG
27 EP,1078.2522029448703,1619.8155639870097,1275.8695106811997,EP
27 LU,1085.192463028782,2523.0347863792063,1452.8019123145457,LU
28 CG,1087.7784135963204,4383.7870434125725,918.939554124327,CG
28 EP,785.6144546418637,1351.2077635611133,1013.7312184552355,EP
28 LU,1757.5735749356775,3350.854398450296,2301.348581482883,LU
29 CG,1185.8829484700807,3679.6583480200593,816.716677278161,CG
29 EP,866.7915102467341,1124.7965760680001,968.8452205660365,EP
29 LU,1149.58095085826,1671.054252890008,1559.1100000879226,LU
30 CG,1364.2686543734817,4563.83876206536,1008.0294549852761,CG
30 EP,839.5076452722074,1381.8282851087681,1267.5795397165077,EP
30 LU,2032.4697663925124,2431.2122522027216,2423.0096068074763,LU
31 CG,939.2320571039693,1061.8468784251975,535.6339452835151,CG
31 EP,901.5268522512525,1414.5859467857413,1143.622016613432,EP
31 LU,1477.8547479354197,3003.061005252342,2135.690078882959,LU
32 CG,1102.4708301175738,3665.2621366337175,805.128837658129,CG
32 EP,773.7570744392245,1405.4586534860996,1099.7367110153118,EP
