,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_PKG_all,RAPL_ENERGY_DRAM_all,Machine,time,powers_av_all,type,bench,class,Nbprocess,y_ax,RAPL_ENERGY_PKG_BOTH
6130,optimized_test_CG_C_32_14,190.9297332763672,43.709503173828125,1377.5478210449219,581.9693908691406,2019-08-01 09:28:39.906,2019-08-01 09:28:50.918,14,2194.156448364258,4388.312896728516,Dahu29,11.012,182.84637069702148,optimized,CG,C,32,optimized,1959.5172119140625
6170,optimized_test_CG_C_32_15,205.18862915039062,47.808502197265625,1483.508056640625,631.41162109375,2019-08-01 09:28:53.923,2019-08-01 09:29:05.930,15,2367.9168090820312,4735.8336181640625,Dahu29,12.007,182.14744685246393,optimized,CG,C,32,optimized,2114.919677734375
6213,optimized_test_CG_C_32_16,192.62918090820312,43.819549560546875,1380.4548645019531,582.8624267578125,2019-08-01 09:29:08.934,2019-08-01 09:29:19.941,16,2199.7660217285156,4399.532043457031,Dahu29,11.007,183.31383514404297,optimized,CG,C,32,optimized,1963.3172912597656
6253,optimized_test_CG_C_32_17,190.32428741455078,43.827789306640625,1369.8966674804688,582.94970703125,2019-08-01 09:29:22.946,2019-08-01 09:29:33.957,17,2186.99845123291,4373.99690246582,Dahu29,11.011,182.24987093607584,optimized,CG,C,32,optimized,1952.8463745117188
6295,optimized_test_CG_C_32_18,192.8585968017578,43.92009735107422,1380.4588317871094,584.3662414550781,2019-08-01 09:29:37.962,2019-08-01 09:29:48.969,18,2201.6037673950195,4403.207534790039,Dahu29,11.007,183.46698061625162,optimized,CG,C,32,optimized,1964.8250732421875
6335,optimized_test_CG_C_32_19,190.3050765991211,43.95116424560547,1373.0412902832031,584.2772827148438,2019-08-01 09:29:51.973,2019-08-01 09:30:02.985,19,2191.5748138427734,4383.149627685547,Dahu29,11.012,182.6312344868978,optimized,CG,C,32,optimized,1957.3185729980469
6377,optimized_test_CG_C_32_20,192.29828643798828,43.746246337890625,1380.5917053222656,583.6910400390625,2019-08-01 09:30:06.990,2019-08-01 09:30:17.998,20,2200.327278137207,4400.654556274414,Dahu29,11.008,183.36060651143393,optimized,CG,C,32,optimized,1964.2827453613281
6417,optimized_test_EP_B_1_1,740.954833984375,402.52489471435547,6233.409332275391,5585.385833740234,2019-08-01 09:30:21.002,2019-08-01 09:32:03.065,1,12962.274894714355,25924.54978942871,Dahu29,102.063,125.84732907489665,optimized,EP,B,1,optimized,11818.795166015625
6731,optimized_test_EP_B_1_2,738.0733337402344,401.7344741821289,6082.214172363281,5705.273254394531,2019-08-01 09:32:06.070,2019-08-01 09:33:48.134,2,12927.295234680176,25854.59046936035,Dahu29,102.064,125.50772072505025,optimized,EP,B,1,optimized,11787.487426757812
7043,optimized_test_EP_B_1_3,735.1727676391602,403.4269485473633,6080.590393066406,5730.972930908203,2019-08-01 09:33:51.139,2019-08-01 09:35:33.187,3,12950.163040161133,25900.326080322266,Dahu29,102.048,125.72973825399158,optimized,EP,B,1,optimized,11811.56332397461
7357,optimized_test_EP_B_1_4,734.0673141479492,403.5219268798828,6067.365783691406,5708.361022949219,2019-08-01 09:35:36.191,2019-08-01 09:37:18.255,4,12913.316047668457,25826.632095336914,Dahu29,102.064,125.37200046280056,optimized,EP,B,1,optimized,11775.726806640625
7669,optimized_test_EP_B_1_5,734.3563919067383,405.3097610473633,6069.372863769531,5710.832183837891,2019-08-01 09:37:21.259,2019-08-01 09:39:03.306,5,12919.871200561523,25839.742401123047,Dahu29,102.047,125.43564272389828,optimized,EP,B,1,optimized,11780.205047607422
7982,optimized_test_EP_B_1_6,731.9160842895508,403.42989349365234,6074.356872558594,5656.964538574219,2019-08-01 09:39:06.310,2019-08-01 09:40:48.357,6,12866.667388916016,25733.33477783203,Dahu29,102.047,124.91910086326229,optimized,EP,B,1,optimized,11731.321411132812
8296,optimized_test_EP_B_1_7,731.9324493408203,402.45008087158203,6027.7786865234375,5706.607513427734,2019-08-01 09:40:51.362,2019-08-01 09:42:33.426,7,12868.768730163574,25737.53746032715,Dahu29,102.064,124.93950223459781,optimized,EP,B,1,optimized,11734.386199951172
8608,optimized_test_EP_B_1_8,732.6501846313477,403.6070861816406,6056.1995849609375,5718.23974609375,2019-08-01 09:42:36.430,2019-08-01 09:44:18.477,8,12910.696601867676,25821.39320373535,Dahu29,102.047,125.34656895017162,optimized,EP,B,1,optimized,11774.439331054688
8922,optimized_test_EP_B_1_9,733.7010345458984,403.6271743774414,6070.979461669922,5585.526794433594,2019-08-01 09:44:21.482,2019-08-01 09:46:03.529,9,12793.834465026855,25587.66893005371,Dahu29,102.047,124.2119850973481,optimized,EP,B,1,optimized,11656.506256103516
9237,optimized_test_EP_B_1_10,725.7536697387695,400.0386505126953,6008.753204345703,5663.622863769531,2019-08-01 09:46:07.533,2019-08-01 09:47:48.594,10,12798.1683883667,25596.3367767334,Dahu29,101.061,125.4722391016343,optimized,EP,B,1,optimized,11672.376068115234
9549,optimized_test_EP_B_1_11,732.3798599243164,404.78834533691406,6069.518157958984,5738.803131103516,2019-08-01 09:47:52.599,2019-08-01 09:49:34.663,11,12945.48949432373,25890.97898864746,Dahu29,102.064,125.68436402256049,optimized,EP,B,1,optimized,11808.3212890625
9862,optimized_test_EP_B_1_12,733.1607360839844,403.90772247314453,6077.2374267578125,5714.815093994141,2019-08-01 09:49:37.667,2019-08-01 09:51:19.731,12,12929.120979309082,25858.241958618164,Dahu29,102.064,125.52544640105904,optimized,EP,B,1,optimized,11792.052520751953
10175,optimized_test_EP_B_1_13,726.8670349121094,400.32239532470703,6076.253570556641,5688.245330810547,2019-08-01 09:51:22.735,2019-08-01 09:53:03.797,13,12891.688331604004,25783.376663208008,Dahu29,101.062,126.38910129023533,optimized,EP,B,1,optimized,11764.498901367188
10487,optimized_test_EP_B_1_14,737.8831176757812,406.0538787841797,6235.646209716797,5904.570007324219,2019-08-01 09:53:07.802,2019-08-01 09:54:49.865,14,13284.153213500977,26568.306427001953,Dahu29,102.063,128.972361296126,optimized,EP,B,1,optimized,12140.216217041016
10799,optimized_test_EP_B_1_15,731.5428161621094,401.5070571899414,6170.040069580078,5872.346038818359,2019-08-01 09:54:52.869,2019-08-01 09:56:33.933,15,13175.435981750488,26350.871963500977,Dahu29,101.064,129.1709409975538,optimized,EP,B,1,optimized,12042.386108398438
11111,optimized_test_EP_B_1_16,740.7658157348633,405.2475128173828,6251.893615722656,5880.3984375,2019-08-01 09:56:37.937,2019-08-01 09:58:20.001,16,13278.305381774902,26556.610763549805,Dahu29,102.064,128.9155862308243,optimized,EP,B,1,optimized,12132.292053222656
11425,optimized_test_EP_B_1_17,741.591911315918,404.9184036254883,6256.654602050781,5915.829925537109,2019-08-01 09:58:23.006,2019-08-01 10:00:05.072,17,13318.994842529297,26637.989685058594,Dahu29,102.066,129.3106295391194,optimized,EP,B,1,optimized,12172.48452758789
11737,optimized_test_EP_B_1_18,743.3315582275391,404.77323150634766,6227.0611572265625,5918.134857177734,2019-08-01 10:00:08.075,2019-08-01 10:01:50.141,18,13293.300804138184,26586.601608276367,Dahu29,102.066,129.0611728557105,optimized,EP,B,1,optimized,12145.196014404297
12051,optimized_test_EP_B_1_19,743.5138320922852,403.60887908935547,6258.423736572266,5763.796142578125,2019-08-01 10:01:53.145,2019-08-01 10:03:35.212,19,13169.342590332031,26338.685180664062,Dahu29,102.067,127.8576950517673,optimized,EP,B,1,optimized,12022.21987915039
12364,optimized_test_EP_B_1_20,743.7106704711914,403.1236114501953,6256.280334472656,5922.519195556641,2019-08-01 10:03:38.215,2019-08-01 10:05:20.281,20,13325.633811950684,26651.267623901367,Dahu29,102.066,129.37508555291924,optimized,EP,B,1,optimized,12178.799530029297
74,normal_test_CG_C_32_1,192.73178100585938,96.68508911132812,1506.6078796386719,1141.6588745117188,2019-08-01 08:31:09.986,2019-08-01 08:31:21.997,1,2937.683624267578,5875.367248535156,Dahu25,12.011,225.9756634051983,normal,CG,C,32,normal,2648.2667541503906
118,normal_test_CG_C_32_2,89.35384368896484,206.1691131591797,1461.1173095703125,1588.1704406738281,2019-08-01 08:31:25.002,2019-08-01 08:31:38.013,2,3344.810707092285,6689.62141418457,Dahu25,13.011,238.9150505065918,normal,CG,C,32,normal,3049.2877502441406
163,normal_test_CG_C_32_3,87.89826965332031,210.8939666748047,1463.3746337890625,1593.0141906738281,2019-08-01 08:31:41.018,2019-08-01 08:31:54.031,3,3355.1810607910156,6710.362121582031,Dahu25,13.013,239.6557900565011,normal,CG,C,32,normal,3056.3888244628906
