,target,sensor,benchmark,mode,mode2,number,cpu
106,normal_normal_LU_C_64_15,runningmodesxDahu25,LU,normal,normal,15,6742.224548339844
107,normal_normal_LU_C_64_16,runningmodesxDahu25,LU,normal,normal,16,6965.600799560547
108,normal_normal_LU_C_64_17,runningmodesxDahu25,LU,normal,normal,17,6754.302490234375
109,normal_normal_LU_C_64_18,runningmodesxDahu25,LU,normal,normal,18,6739.056549072266
110,normal_normal_LU_C_64_19,runningmodesxDahu25,LU,normal,normal,19,6736.208526611328
111,normal_normal_LU_C_64_2,runningmodesxDahu25,LU,normal,normal,2,6495.902893066406
112,normal_normal_LU_C_64_20,runningmodesxDahu25,LU,normal,normal,20,6507.833251953125
113,normal_normal_LU_C_64_21,runningmodesxDahu25,LU,normal,normal,21,6507.155853271484
114,normal_normal_LU_C_64_22,runningmodesxDahu25,LU,normal,normal,22,6963.423095703125
115,normal_normal_LU_C_64_23,runningmodesxDahu25,LU,normal,normal,23,6746.391937255859
116,normal_normal_LU_C_64_24,runningmodesxDahu25,LU,normal,normal,24,6739.893157958984
117,normal_normal_LU_C_64_25,runningmodesxDahu25,LU,normal,normal,25,6758.150634765625
118,normal_normal_LU_C_64_26,runningmodesxDahu25,LU,normal,normal,26,6974.5908203125
119,normal_normal_LU_C_64_27,runningmodesxDahu25,LU,normal,normal,27,6505.9012451171875
120,normal_normal_LU_C_64_28,runningmodesxDahu25,LU,normal,normal,28,6757.059020996094
121,normal_normal_LU_C_64_29,runningmodesxDahu25,LU,normal,normal,29,6758.040802001953
122,normal_normal_LU_C_64_3,runningmodesxDahu25,LU,normal,normal,3,6503.330078125
123,normal_normal_LU_C_64_30,runningmodesxDahu25,LU,normal,normal,30,6972.957000732422
124,normal_normal_LU_C_64_31,runningmodesxDahu25,LU,normal,normal,31,6751.195220947266
125,normal_normal_LU_C_64_32,runningmodesxDahu25,LU,normal,normal,32,6759.4786376953125
126,normal_normal_LU_C_64_33,runningmodesxDahu25,LU,normal,normal,33,6956.282379150391
127,normal_normal_LU_C_64_34,runningmodesxDahu25,LU,normal,normal,34,6746.6416015625
