target,begin,end,name,mode,mode2,benchmark,class,cpu number,p,number,sensor,cpu 0,cpu 1,dram 0,dram 1,cpu,dram
normal_normal_LU_C_40_27,2019-07-22 12:44:22.787,2019-07-22 12:45:14.837,normal_normal_LU_C_40_27,normal,normal,LU,C,40,27,27,Chetemi,3469.6642150878906,3389.0985107421875,631.2596130371094,722.6993560791016,6858.762725830078,1353.958969116211
normal_normal_LU_C_40_28,2019-07-22 12:45:17.842,2019-07-22 12:46:10.891,normal_normal_LU_C_40_28,normal,normal,LU,C,40,28,28,Chetemi,3524.43017578125,3444.6878662109375,629.1796417236328,735.8146896362305,6969.1180419921875,1364.9943313598633
normal_normal_LU_C_40_29,2019-07-22 12:46:13.895,2019-07-22 12:47:06.944,normal_normal_LU_C_40_29,normal,normal,LU,C,40,29,29,Chetemi,3513.98974609375,3451.1549377441406,768.6668701171875,594.877311706543,6965.144683837891,1363.5441818237305
normal_normal_LU_C_40_3,2019-07-22 12:22:10.545,2019-07-22 12:23:03.595,normal_normal_LU_C_40_3,normal,normal,LU,C,40,3,3,Chetemi,3546.4618225097656,3441.466094970703,623.1925964355469,738.9545745849609,6987.927917480469,1362.1471710205078
normal_normal_LU_C_40_30,2019-07-22 12:47:09.949,2019-07-22 12:48:03.997,normal_normal_LU_C_40_30,normal,normal,LU,C,40,30,30,Chetemi,3569.7460021972656,3525.7760314941406,810.0205764770508,665.3228607177734,7095.522033691406,1475.3434371948242
normal_normal_LU_C_40_4,2019-07-22 12:23:06.599,2019-07-22 12:23:59.647,normal_normal_LU_C_40_4,normal,normal,LU,C,40,4,4,Chetemi,3547.158233642578,3438.774688720703,775.3406448364258,586.5745162963867,6985.932922363281,1361.9151611328125
normal_normal_LU_C_40_5,2019-07-22 12:24:03.651,2019-07-22 12:24:55.697,normal_normal_LU_C_40_5,normal,normal,LU,C,40,5,5,Chetemi,3487.260467529297,3406.5294189453125,627.7475051879883,712.3614196777344,6893.789886474609,1340.1089248657227
normal_normal_LU_C_40_6,2019-07-22 12:24:58.701,2019-07-22 12:25:51.749,normal_normal_LU_C_40_6,normal,normal,LU,C,40,6,6,Chetemi,3542.6241760253906,3459.333984375,620.4461288452148,734.5017318725586,7001.958160400391,1354.9478607177734
normal_normal_LU_C_40_7,2019-07-22 12:25:55.754,2019-07-22 12:26:47.803,normal_normal_LU_C_40_7,normal,normal,LU,C,40,7,7,Chetemi,3480.0227661132812,3406.2938842773438,613.728874206543,724.5232772827148,6886.316650390625,1338.2521514892578
normal_normal_LU_C_40_8,2019-07-22 12:26:51.807,2019-07-22 12:27:43.853,normal_normal_LU_C_40_8,normal,normal,LU,C,40,8,8,Chetemi,3472.380889892578,3405.594268798828,754.1476058959961,586.2388610839844,6877.975158691406,1340.3864669799805
normal_normal_LU_C_64_1,2019-07-22 12:25:14.427,2019-07-22 12:25:40.447,normal_normal_LU_C_64_1,normal,normal,LU,C,64,1,1,Dahu,3256.6300354003906,3254.684051513672,373.64183044433594,336.7505340576172,6511.3140869140625,710.3923645019531
normal_normal_LU_C_64_10,2019-07-22 12:29:42.735,2019-07-22 12:30:09.773,normal_normal_LU_C_64_10,normal,normal,LU,C,64,10,10,Dahu,3372.666534423828,3369.34033203125,393.8585739135742,349.9137191772461,6742.006866455078,743.7722930908203
normal_normal_LU_C_64_11,2019-07-22 12:30:12.779,2019-07-22 12:30:39.810,normal_normal_LU_C_64_11,normal,normal,LU,C,64,11,11,Dahu,3370.5506286621094,3367.4266052246094,392.32735443115234,350.9043655395508,6737.977233886719,743.2317199707031
