,Unnamed: 0,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
20,2334,normal_normal_LU_C_64_21,351.0301284790039,359.6045150756836,3256.0018920898438,3259.9354553222656,2019-06-07 09:27:37.916,2019-06-07 09:28:03.944,21,710.6346435546875,6515.937347412109,allmodes,26.028000000000002,241.33101286711516,normal,normal,LU,C,64,normal normal
21,2419,normal_normal_LU_C_64_22,357.9016799926758,372.0767364501953,3356.98583984375,3363.1055908203125,2019-06-07 09:28:06.949,2019-06-07 09:28:33.979,22,729.9784164428711,6720.0914306640625,allmodes,27.03,240.00326538085938,normal,normal,LU,C,64,normal normal
22,2507,normal_normal_LU_C_64_23,360.38385009765625,370.9472122192383,3357.194580078125,3364.1842041015625,2019-06-07 09:28:36.985,2019-06-07 09:29:04.012,23,731.3310623168945,6721.3787841796875,allmodes,27.026999999999997,240.04924229213168,normal,normal,LU,C,64,normal normal
23,2596,normal_normal_LU_C_64_24,362.5771484375,369.0194625854492,3366.446807861328,3372.903533935547,2019-06-07 09:29:07.017,2019-06-07 09:29:34.047,24,731.5966110229492,6739.350341796875,allmodes,27.03,240.6910836356027,normal,normal,LU,C,64,normal normal
24,2683,normal_normal_LU_C_64_25,357.72579193115234,371.2205352783203,3371.1378784179688,3377.6050720214844,2019-06-07 09:29:37.052,2019-06-07 09:30:04.082,25,728.9463272094728,6748.742950439453,allmodes,27.03,241.0265339442662,normal,normal,LU,C,64,normal normal
25,2771,normal_normal_LU_C_64_26,362.2617645263672,370.6342926025391,3366.0946350097656,3370.1965942382812,2019-06-07 09:30:07.089,2019-06-07 09:30:34.118,26,732.8960571289062,6736.291229248047,allmodes,27.029,240.5818296160017,normal,normal,LU,C,64,normal normal
26,2857,normal_normal_LU_C_64_27,358.6178665161133,366.1988983154297,3336.307159423828,3344.0147705078125,2019-06-07 09:30:36.126,2019-06-07 09:31:03.154,27,724.816764831543,6680.321929931641,allmodes,27.028000000000002,238.5829260689872,normal,normal,LU,C,64,normal normal
27,2947,normal_normal_LU_C_64_28,349.87335205078125,357.34468841552734,3256.2071533203125,3259.6825256347656,2019-06-07 09:31:07.160,2019-06-07 09:31:33.186,28,707.2180404663086,6515.889678955078,allmodes,26.026,241.32924736870658,normal,normal,LU,C,64,normal normal
28,3033,normal_normal_LU_C_64_29,362.0854187011719,366.95470428466797,3365.3668823242188,3372.27978515625,2019-06-07 09:31:36.193,2019-06-07 09:32:03.221,29,729.0401229858397,6737.646667480469,allmodes,27.028000000000002,240.63023812430245,normal,normal,LU,C,64,normal normal
29,3121,normal_normal_LU_C_64_30,356.96114349365234,371.2096710205078,3368.8121032714844,3375.838287353516,2019-06-07 09:32:06.227,2019-06-07 09:32:33.257,30,728.1708145141603,6744.650390625,allmodes,27.03,240.88037109375,normal,normal,LU,C,64,normal normal
