state;target;timestamp
begin;docker_cg_30;1565253823
end;docker_cg_30;1565253833
begin;bin_cg_30;1565253838
end;bin_cg_30;1565253847
begin;docker_cg_31;1565253847
end;docker_cg_31;1565253858
begin;bin_cg_31;1565253863
end;bin_cg_31;1565253872
begin;docker_cg_32;1565253872
end;docker_cg_32;1565253882
begin;bin_cg_32;1565253887
end;bin_cg_32;1565253896
begin;docker_cg_33;1565253896
end;docker_cg_33;1565253906
begin;bin_cg_33;1565253911
end;bin_cg_33;1565253920
begin;docker_cg_34;1565253920
end;docker_cg_34;1565253931
begin;bin_cg_34;1565253936
end;bin_cg_34;1565253945
begin;docker_cg_35;1565253945
end;docker_cg_35;1565253955
begin;bin_cg_35;1565253960
end;bin_cg_35;1565253969
begin;docker_cg_36;1565253969
end;docker_cg_36;1565253979
begin;bin_cg_36;1565253984
end;bin_cg_36;1565253993
begin;docker_cg_37;1565253993
end;docker_cg_37;1565254003
begin;bin_cg_37;1565254008
end;bin_cg_37;1565254017
begin;docker_cg_38;1565254017
end;docker_cg_38;1565254028
begin;bin_cg_38;1565254033
end;bin_cg_38;1565254042
begin;docker_cg_39;1565254042
end;docker_cg_39;1565254052
begin;bin_cg_39;1565254057
end;bin_cg_39;1565254066
begin;docker_cg_40;1565254066
end;docker_cg_40;1565254076
begin;bin_cg_40;1565254081
end;bin_cg_40;1565254090
begin;docker_cg_41;1565254090
end;docker_cg_41;1565254101
begin;bin_cg_41;1565254106
end;bin_cg_41;1565254115
begin;docker_cg_42;1565254115
end;docker_cg_42;1565254125
begin;bin_cg_42;1565254130
end;bin_cg_42;1565254139
begin;docker_cg_43;1565254139
end;docker_cg_43;1565254149
begin;bin_cg_43;1565254154
end;bin_cg_43;1565254163
begin;docker_cg_44;1565254163
end;docker_cg_44;1565254174
begin;bin_cg_44;1565254179
end;bin_cg_44;1565254188
begin;docker_cg_45;1565254188
end;docker_cg_45;1565254198
begin;bin_cg_45;1565254203
end;bin_cg_45;1565254212
begin;docker_cg_46;1565254212
end;docker_cg_46;1565254223
begin;bin_cg_46;1565254228
end;bin_cg_46;1565254237
begin;docker_cg_47;1565254237
end;docker_cg_47;1565254247
begin;bin_cg_47;1565254252
end;bin_cg_47;1565254261
begin;docker_cg_48;1565254261
end;docker_cg_48;1565254271
begin;bin_cg_48;1565254276
end;bin_cg_48;1565254285
begin;docker_cg_49;1565254285
end;docker_cg_49;1565254295
begin;bin_cg_49;1565254300
end;bin_cg_49;1565254312
begin;docker_cg_50;1565254312
end;docker_cg_50;1565254322
begin;bin_cg_50;1565254327
end;bin_cg_50;1565254336
begin;docker_cg_51;1565254336
end;docker_cg_51;1565254346
begin;bin_cg_51;1565254351
end;bin_cg_51;1565254360
begin;docker_cg_52;1565254360
end;docker_cg_52;1565254370
begin;bin_cg_52;1565254375
end;bin_cg_52;1565254384
begin;docker_cg_53;1565254384
end;docker_cg_53;1565254394
begin;bin_cg_53;1565254399
end;bin_cg_53;1565254408
begin;docker_cg_54;1565254408
end;docker_cg_54;1565254419
begin;bin_cg_54;1565254424
end;bin_cg_54;1565254433
begin;docker_cg_55;1565254433
end;docker_cg_55;1565254443
begin;bin_cg_55;1565254448
end;bin_cg_55;1565254457
begin;docker_cg_56;1565254457
end;docker_cg_56;1565254467
begin;bin_cg_56;1565254472
end;bin_cg_56;1565254481
begin;docker_cg_57;1565254481
end;docker_cg_57;1565254492
begin;bin_cg_57;1565254497
end;bin_cg_57;1565254506
begin;docker_cg_58;1565254506
end;docker_cg_58;1565254516
begin;bin_cg_58;1565254521
end;bin_cg_58;1565254530
begin;docker_cg_59;1565254530
end;docker_cg_59;1565254540
begin;bin_cg_59;1565254545
end;bin_cg_59;1565254554
begin;docker_cg_60;1565254554
end;docker_cg_60;1565254565
begin;bin_cg_60;1565254570
end;bin_cg_60;1565254579
begin;docker_cg_61;1565254579
end;docker_cg_61;1565254589
begin;bin_cg_61;1565254594
end;bin_cg_61;1565254603
begin;docker_cg_62;1565254603
end;docker_cg_62;1565254613
begin;bin_cg_62;1565254618
end;bin_cg_62;1565254627
begin;docker_cg_63;1565254627
end;docker_cg_63;1565254637
begin;bin_cg_63;1565254642
end;bin_cg_63;1565254651
begin;docker_cg_64;1565254651
end;docker_cg_64;1565254661
begin;bin_cg_64;1565254666
end;bin_cg_64;1565254675
begin;docker_cg_65;1565254675
end;docker_cg_65;1565254685
begin;bin_cg_65;1565254690
end;bin_cg_65;1565254700
begin;docker_cg_66;1565254700
end;docker_cg_66;1565254710
begin;bin_cg_66;1565254715
end;bin_cg_66;1565254724
begin;docker_cg_67;1565254724
end;docker_cg_67;1565254734
begin;bin_cg_67;1565254739
end;bin_cg_67;1565254748
begin;docker_cg_68;1565254748
end;docker_cg_68;1565254758
begin;bin_cg_68;1565254763
end;bin_cg_68;1565254772
begin;docker_cg_69;1565254772
end;docker_cg_69;1565254782
begin;bin_cg_69;1565254787
end;bin_cg_69;1565254796
begin;docker_cg_70;1565254796
end;docker_cg_70;1565254806
begin;bin_cg_70;1565254811
end;bin_cg_70;1565254820
begin;docker_cg_71;1565254820
end;docker_cg_71;1565254831
begin;bin_cg_71;1565254836
end;bin_cg_71;1565254845
begin;docker_cg_72;1565254845
end;docker_cg_72;1565254855
begin;bin_cg_72;1565254860
end;bin_cg_72;1565254869
begin;docker_cg_73;1565254869
end;docker_cg_73;1565254879
begin;bin_cg_73;1565254884
end;bin_cg_73;1565254893
begin;docker_cg_74;1565254893
end;docker_cg_74;1565254903
begin;bin_cg_74;1565254908
end;bin_cg_74;1565254917
begin;docker_cg_75;1565254917
